                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Character,DelayAtEnd,Expression,French,English,German,Spanish,Brasilian,Chinese,Italian,Russian,Korean,Japanese
ChapterEndTitle,,,,Épilogue,Sonsöz,Epilog,Epílogo,Epílogo,尾声,Epilogo,Эпилог,에필로그,エピローグ
TextChoixMenu01,,,,PAS DE JEU ICI,BURADA OYUN YOK!,KEIN SPIEL HIER,AQUÍ NO HAY JUEGO,NENHUM JOGO AQUI,这里没有游戏,NIENTE GIOCO QUI,ЗДЕСЬ НЕТ ИГРЫ,여기 게임 없음,この先\nゲームなし
TextChoixMenu02,,,,OPTIONS INUTILES,GEREKSİZ AYARLAR,NUTZLOSE OPTIONEN,OPCIONES INÚTILES,OPÇÕES INÚTEIS,没用的选项,OPZIONI INUTILI,БЕСПОЛЕЗНЫЕ НАСТРОЙКИ,쓸모없는 설정,ムダな設定
TextChoixMenu03,,,,C'EST PAR LÀ !,BU TARAFTAN!,HIER LANG!,¡POR AQUÍ!,POR AQUI!,这边！,DA QUESTA PARTE!,СЮДА!,이쪽입니다!,お帰りは\nこちら！
TextChoixMenu04,,,,NE PAS CONTINUER,DEVAM ETME,NICHT FORTFAHREN,NO CONTINUAR,NÃO CONTINUE,不要继续,NON CONTINUARE,НЕ ПРОДОЛЖАТЬ,계속하지 말아주세요,引き返せ
TextLangueWarning,,,,SI VOUS POUVEZ LIRE CECI ALORS QUITTEZ LE PROGRAMME !,EĞER BUNU OKUYABİLİYORSAN PROGRAMDAN ÇIK!,"WENN DU DAS HIER LESEN KANNST, VERLASSE DAS PROGRAMM!","¡SI PUEDES LEER ESTO, SAL DEL PROGRAMA!","SE VOCÊ PODE LER ISSO, SAIA DO PROGRAMA!",你要是能读懂这个就请离开此程序！,"SE LEGGI QUESTO, ABBANDONA IL PROGRAMMA!","ЕСЛИ ВЫ МОЖЕТЕ ПРОЧЕСТЬ ЭТО, ПОКИНЬТЕ ПРОГРАММУ!",이 글이 보인다면 프로그램을 종료해 주세요!,これが読めるならプログラムを終了しろ！
TextChapitreWarning,,,,Attention !\nVous allez perdre la progression du chapitre en cours.\nÊtes-vous sûr de vouloir continuer ?,Uyarı!\nBulunduğun bölümdeki tüm ilerlemeni kaybedeceksin.\nDevam etmek istediğine emin misin?,Warnung!\nDein Fortschritt im aktuellen Kapitel geht dabei verloren.\nMöchtest du wirklich fortfahren?,¡Advertencia!\nPerderás tus progresos en el capítulo actual.\n¿Seguro que deseas continuar?,Aviso!\nVocê perderá o seu progresso no atual capítulo.\nVocê tem certeza de que deseja continuar?,小心！ 你将失去在本章的进展。 你确定要继续吗？,"Attenzione,\nperderai i tuoi progressi nel capitolo in corso.\nVuoi continuare?","Внимание!\nВы потеряете весь прогресс в текущей главе.\nВы уверены, что хотите продолжить?",경고!\n현재 장에서 모든 진행경과를 잃게 됩니다.\n정말로 계속 하시겠습니까?,注意！\nチャプターの初めからやりなおしになるぞ。\n本当にいいんだな？
TextBack,,,,Retour,Geri,Zurück,Volver,Voltar,返回,Indietro,Назад,뒤로,戻る
TextContinue,,,,CONTINUER,DEVAM ET,WEITER,CONTINUAR,CONTINUAR,继续,CONTINUA,ПРОДОЛЖИТЬ,계속,続ける
TextYes,,,,Oui,Evet,Ja,Sí,Sim,是,Sì,Да,예,Yes
TextNo,,,,Non,Hayır,Nein,No,Não,不,No,Нет,아니오,No
TextQuitConfirmation,,,,QUITTER ?,ÇIKIŞ?,VERLASSEN?,¿SALIR?,SAIR?,退出？,USCIRE?,ВЫЙТИ?,종료합니까?,終了する？
TextCredits,,,,Générique,Yapımcılar,Mitwirkende,Créditos,Créditos,制作组名单,Riconoscimenti,Титры,제작진,クレジット
TextVolume,,,,Volume audio,Ses Seviyesi,Audio-Lautstärke,Volumen,Volume do áudio,音频音量,Volume audio,Громкость звука,오디오 볼륨,音量
TextEnabled,,,,Activé,Açık,Aktiviert,Habilitado,Ativado,开启,Abilitato,Включено,활성화,ON
TextDisabled,,,,Désactivé,Kapalı,Deaktiviert,Inhabilitado,Desativado,禁用,Disabilitato,Выключено,비활성화,OFF
TextDisplay,,,,Affichage,Görünüm,Anzeige,Visualización,Exibição,显示,Visualizzazione,Экран,화면,表示
TextFullscreen,,,,Plein écran,Tam Ekran,Vollbild,Pantalla completa,Tela cheia,全屏,Schermo intero,Полноэкранный режим,전체화면,フルスクリーン
TextWindowed,,,,Fenêtré,Pencere Modu,Fenstermodus,En ventana,Modo janela,窗口化,Finestra,Оконный режим,창 모드,ウィンドウ
TextNoBorderWindowed,,,,Fenêtré sans bordure,Kenarlıksız Pencere Modu,Randloser Fenstermodus,Ventana sin marco,Modo janela sem bordas,无边框窗口,Finestra senza bordi,Оконный режим без рамки,경계 없는 창 모드,ふちなしウィンドウ
TextCNC,,,,Avec le soutien du,Destekleriyle,Mit Unterstützung von,Con el apoyo de,Com o apoio de,支持方,Con il supporto di,При поддержке,도움 받은 곳:,協力：
TextStartClick,,,,Ne pas cliquer pour commencer,Başlamak için tıklama,"Nicht klicken, um zu starten",No hagas clic para comenzar,Não clique para iniciar,不要点击以开始,Non cliccare per iniziare,"Не щёлкайте, чтобы начать",시작을 위해 클릭하지 마세요,クリックしたら始まるから禁止
TextStartTouch,,,,Ne pas toucher pour commencer,Başlamak için dokunma,"Nicht berühren, um zu starten",No toques para comenzar,Não toque para iniciar,不要触摸以开始,Non toccare per iniziare,"Не нажимайте, чтобы начать",시작을 위해 터치하지 마세요,タップしたら始まるから禁止
TextPressStart,,,,<sprite index=3>pour ne pas commencer,başlamamak için,<sprite index=3>um nicht zu starten,<sprite index=3>para no comenzar,<sprite index=3>para não iniciar,<sprite index=3>不开始,<sprite index=3>per non iniziare,<sprite index=3>чтобы не начинать,시작하지 않기 위해,始めない
TextOptionLanguage,,,,Langue,Dil,Sprache,Idioma,Idioma,语言,Lingua,Язык,언어,言語
TextOptionLanguageName,,,,Français,Türkçe,Deutsch,Español,Português,简体中文,Italiano,Русский,영어,日本語
TextOptionQuality,,,,Qualité,Kalite,Qualität,Calidad,Qualidade,质量,Qualità,Качество,품질,品質
TextOptionQualityHigh,,,,Haute,Yüksek,Gute,Alta,Alta,高,Alta,Высокое,상,高
TextOptionQualityLow,,,,Basse,Düşük,Geringe,Baja,Baixa,低,Bassa,Низкое,저,低
TextNextHintTimer,,,,Prochain indice dans,Bir sonraki ipucu,Nächste Tipps in,Próximos consejos dentro de,Próxima dica em,下一批小贴士出现在,Prossimi suggerimenti tra,Следующая подсказка через,힌트 등장까지 앞으로,ヒント解禁まで
TextNextHintUnlocked,,,,Débloquer un nouvel indice,Yeni bir ipucu açmak için dokun,Neuen Hinweis freizuschalten,Desbloquear una nueva pista,Desbloquear uma nova dica,触摸以解锁一条新提示,Sbloccare un nuovo suggerimento,"Нажмите, чтобы разблокировать новую подсказку",힌트 보기,ヒントを見る
TextLastHintUnlocked,,,,Débloquer la solution,Çözümü açmak için dokun,Lösung freizuschalten,Desbloquear la solución,Desbloquear a solução,触摸以解锁答案,Sbloccare la soluzione,"Нажмите, чтобы разблокировать решение",해답 보기,答えを見る
TextHintLocked,,,,Indice non disponible,İpucu bulunamadı,Kein Hinweis verfügbar,Pista no disponible,Dica indisponível,没有提示,Suggerimento non disponibile,Подсказка недоступна,힌트 사용 불가,ヒント使用不可
TextHintTitle,,,,CHOISISSEZ UN INDICE,İPUCU SEÇ,HINWEIS WÄHLEN,ELIGE UNA PISTA,ESCOLHA UMA DICA,选择一条提示,SCEGLI UN SUGGERIMENTO,ВЫБЕРИТЕ ПОДСКАЗКУ,힌트를 선택하세요,ひとつ選ぶ
TextNoHint,,,,AUCUN INDICE PRÉSENT À L'ÉCRAN,BU EKRANDA İPUCU YOK,KEIN HINWEIS AUF DIESEM BILDSCHIRM,NO HAY PISTAS EN ESTA PANTALLA,NENHUMA DICA NESSA TELA,本屏幕上没有提示,NESSUN SUGGERIMENTO SU QUESTO SCHERMO,НА ЭТОМ ЭКРАНЕ НЕТ ПОДСКАЗОК,이 장면에는 힌트가 없습니다,この画面はヒントなし
TextC2Warning,,,,Pas un jeu de,Oyun olmayan bu şeyin yapımcısı,Kein Spiel von,No es un juego de,Não é um jogo por,不是一个游戏出品商,Non è un gioco di,Не игра от,제작사 아님:,非ゲーム制作
TextDecrunching,,,,Mémoire saturée. Veuillez patienter...,Bellek yetersiz. Lütfen bekleyin...,Nicht genug Speicher. Bitte warten …,"Memoria insuficiente. Por favor, espera...","Falta de memória. Aguarde, por favor...",内存已满。请等待...,Memoria esaurita. Attendere...,"Недостаточно памяти.\nПожалуйста, подождите...",메모리 부족. 기다려주세요...,Out of memory. Please wait...
TextPressPlay,,,,JOUER,OYNA,SPIELEN,JUGAR,JOGAR,开始游戏,GIOCA,ИГРАТЬ,PLAY,PLAY
Chap01ExclamationMarkHint01,,,,Déjà coincé ?! Le programme a dit de ne rien toucher.,Şimdiden sıkıştın mı?! Program hiçbir şeye dokunmamanı söyledi.,"Du hängst jetzt schon fest?! Das Programm hat doch gesagt, du sollst nichts berühren.",¿Ya te has atascado? El programa ha dicho que no toques nada.,Já ficou preso?! O programa disse para não encostar em nada.,卡住了吧？本程序告诉你了，什么都不要碰。,Già bloccati? Il programma diceva di non toccare nulla.,Уже застряли?! Программа сказала ничего не трогать.,벌써 막혔어요!? 프로그램이 아무 것도 만지지 말라고 했잖아요.,もう行き詰まったのか？ プログラムは\n何かに触られたくないようだったぞ。
Chap01ExclamationMarkHint02,,,,Faites tomber le point d'exclamation au sol.,Ünlem işaretini düşür.,"Sorge dafür, dass das Ausrufezeichen herunterfällt.",Haz caer el signo de exclamación.,Faça o ponto de exclamação cair.,把感叹号砸下来。,Fai cadere il punto esclamativo.,"Сделайте так, чтобы восклицательный знак упал.",느낌표를 떨어뜨려 보세요.,「！」を下に落とせ。
Chap01ShifumiHint01,,,,"Vu l’état de la corde, un simple coup de ciseaux suffirait...",Halatın haline bakılırsa bir makas işi halledebilir gibi...,"Wenn man sich den Zustand des Seils so anschaut, dann sollte ein kleiner Schnitt mit einer Schere reichen ...","Tal como está la cuerda, un cortecito con unas tijeras bastará...","Vendo o estado dessa corda, eu só daria uma cortadinha com alguma tesoura...",绳子都那个样子了，拿个剪刀稍微剪一下就行了...,"Data la posizione della corda, basterebbe un piccolo taglio con le forbici...","Судя по состоянию верёвки, еë нужно лишь немного подрезать ножницами...",밧줄을 예쁘게 만들어봅시다. 가위질 한 번만 한다면...,ロープがこんな状態なら、\nハサミがあれば簡単に切れそうだ。
Chap01ShifumiHint02,,,,Choisissez la carte ‘papier’ et les ciseaux seront à votre portée !,Makası alabilmek için “kağıt” kartını seç!,Wähle die „Papier“-Karte und du bekommst die Schere!,"¡Elige la tarjeta de ""papel"" y podrás conseguir las tijeras!",Escolha a carta “papel” e você vai conseguir a tesoura!,选“布”卡你就能得到剪刀！,"Scegli la carta ""carta"" e potrai ottenere le forbici!","Выберите ""бумагу"", и тогда сможете забрать ножницы! ","""보자기"" 카드를 고르면 가위를 얻을 수 있어요!",「紙」カードを出せば、\n向こうはハサミを出してくるはずだ！
Chap01MetalLetterHint01,,,,Laisser retomber plusieurs fois au sol un objet lourd peut parfois amener des imprévus.,Ağır bir objeyi yere birkaç kez düşürmek beklenmedik sonuçlara yol açabilir.,"Manchmal passieren unerwartete Dinge, wenn du ein schweres Objekt ein paar Mal auf den Boden fallen lässt.",Dejar caer un objeto pesado en el suelo unas cuantas veces puede hacer que sucedan cosas inesperadas.,Derrubar um objeto pesado no chão algumas vezes pode fazer coisas inesperadas acontecerem.,让重物多落在地上几次，往往会有意想不到的发现噢。,Far cadere a terra un oggetto pesante a volte può far accadere cose inaspettate.,Многократное падение тяжëлого предмета на землю может вызвать непредсказуемые последствия.,무거운 물건을 땅에 몇 번 떨어뜨리면 가끔씩 예상 못한 결과가 일어나죠.,重い物を床に何度も落とすと、\n意外なことが起きる時がある。
Chap01BalloonHint01,,,,Un élément pointu pourrait faire éclater ce ballon.,Keskin bir şey o balonu patlatabilir.,Mit einem scharfen Gegenstand könnte man diesen Ballon zum Platzen bringen.,Algo afilado podría hacer estallar ese globo.,Alguma coisa afiada poderia estourar aquele balão.,尖的东西会引爆那个气球。,Qualcosa di affilato potrebbe far scoppiare quel palloncino.,Что-нибудь острое могло бы проткнуть этот шар.,날카로운 게 있으면 풍선을 터뜨릴 수 있겠네요.,風船は先のとがった物で割れる。
Chap01BalloonHint02,,,,Tentez d'attraper le curseur de souris pour éclater ensuite le ballon.,Fare imlecini yakalayarak balonu patlatmayı dene.,"Versuche, den Mauszeiger einzufangen, und lass den Ballon platzen.",Intenta atrapar el cursor y reventar el globo.,Tente pegar o ponteiro e furar o balão.,试图抓住光标，并用它引爆气球。,Cerca di catturare il cursore e fai scoppiare il palloncino.,Попробуйте поймать курсор и лопнуть шарик.,커서를 잡아서 풍선을 떨어뜨려 보세요.,カーソルをつかんで風船をつついてみろ。
Chap01UnscrewPlateHint01,,,,Ne serait-ce pas des vis que nous voyons là ? Il ne manque qu'un tournevis.,Bunlar vida değil mi? Tek ihtiyacımız olan bir tornavida.,"Sind das nicht die Schrauben, die wir gerade sehen? Jetzt fehlt nur noch ein Schraubenzieher.",¿No son esos los tornillos que nos interesan? Solo hace falta un destornillador.,Aqueles não são os parafusos que estamos procurando? Agora só falta a chave de fenda.,那不就是我们在找的螺丝钉吗？只差一把螺丝刀了。,Non sono viti quelle lì? Manca solo un cacciavite.,"Вы же видите винтики? Значит, не хватает только отвëртки.",지금 나사 보고있는 거 아닌가요? 드라이버만 있으면 되겠네.,目の前にあるのはネジじゃないか？\nならば必要なのはネジ回しだ。
Chap01UnscrewPlateHint02,,,,La lettre T fera parfaitement l'affaire pour dévisser tout ça.,T harfi tüm bunları sökmek için en iyi araçtır.,"Der Buchstabe T ist das perfekte Werkzeug, um das alles abzuschrauben.",La letra T es la herramienta perfecta para desatornillar todo esto.,A letra T é perfeita pra desparafusar isso tudo.,字母“T“这个完美的工具，能把这些都拧开。,La lettera T è lo strumento perfetto per svitare.,"Буква Т идеально подойдёт, чтобы их открутить.",T 문자만 있으면 이 나사 다 풀 수 있겠네요.,Tの字はここのネジを外すのに\nぴったりな道具になるだろう。
Chap01DoormatHint01,,,,Chaque coin de ce paillasson semble solidement cloué au sol... excepté un.,Bu paspasın her köşesi yere çivili gibi duruyor... bir köşe hariç.,Jede Ecke dieser Fußmatte scheint am Boden festgenagelt zu sein ... bis auf eine.,Las esquinas de este felpudo parecen estar firmemente ancladas al suelo... excepto una.,Cada canto desse tapete parece estar firmemente pregado no chão... menos um.,这门垫的每个角看起来都被牢牢地钉在地上，除了一个以外。,Ogni angolo di questo zerbino sembra essere saldamente inchiodato al pavimento... tranne uno.,"Похоже, все уголки коврика крепко прибиты к полу... кроме одного.",이 매트를 보면 모서리마다 나사질을 해놨네요... 하나만 빼고.,ドアマットは隅をがっちり釘で止めてある… いや、ひとつだけそうじゃない所があるぞ。
Chap01PadlockKeyHint01,,,,Cette clé ne correspond pas à la serrure de la porte. Cherchez une serrure grise.,Bu anahtar kapıdaki kilide uymuyor. Gri kilidi ara.,Dieser Schlüssel passt nicht in das Türschloss. Suche nach einem grauen Schloss.,Esta llave no encaja en la cerradura de la puerta. Busca una cerradura gris.,Essa chave não cabe na fechadura da porta. Procure uma fechadura cinza.,这把钥匙配的不是这个门锁，去找一把灰锁。,"Questa chiave non si adatta alla serratura della porta, cerca una serratura grigia.",Этот ключ не подходит к дверному замку. Найдите серый замок.,이 열쇠는 문에 있는 자물쇠랑 안 맞네요. 회색 자물쇠를 찾아봅시다.,このカギはドアの錠に合わない。\n灰色の錠を探そう。
Chap01PadlockKeyHint02,,,,Il y a beaucoup de cadenas sur l’écran de choix des langues.,Dil seçme ekranında bir sürü kilit var.,Im Sprachauswahl-Bildschirm gibt es eine Menge Schlösser.,Hay un montón de cerraduras en la pantalla de selección de idioma.,Há várias fechaduras na tela de seleção do idioma.,在语言选择界面上有很多把锁。,Ci sono molti lucchetti nella schermata di selezione della lingua.,На экране выбора языка висит множество замков.,언어 선택 화면에 자물쇠가 굉장히 많네요.,錠なら言語選択画面にたくさんある。
Chap01PadlockKeyHint03,,,,L’un des cadenas au-dessus du drapeau français semble correspondre à la clé.,Fransa bayrağının üstündeki kilitlerden biri anahtara uyuyor gibi.,"Eines der Schlösser über der französischen Flagge sieht so aus, als würde es zum Schlüssel passen.",Parece que la llave encaja con una de las cerraduras sobre la bandera francesa.,Uma das fechaduras acima da bandeira francesa parece ser a certa pra chave.,法国国旗上方的锁中有一把貌似跟钥匙相配。,Uno dei lucchetti sopra la bandiera francese sembra adatto alla chiave.,"Ключ, видимо, подойдёт под один из замков над французским флагом.",프랑스 깃발 위에 있는 자물쇠 중 하나에 열쇠가 맞을 거 같아요.,フランス国旗の上に、\nこのカギがはまりそうな錠があった。
Chap01DoorHint01,,,,Avez-vous tenté de crocheter la serrure avec un objet pointu ?,Keskin bir objeyle kilidi kırmayı denedin mi?,"Hast du versucht, das Schloss mit einem spitzen Gegenstand zu knacken?",¿Has intentado forzar la cerradura con un objeto afilado?,Você tentou abrir a fechadura com um objeto pontudo?,你有试过用尖锐的物体去撬锁吗？,Hai provato a scassinare la serratura con un oggetto appuntito?,Вы пытались взломать замок острым предметом?,날카로운 걸로 자물쇠 따기 해봤나요?,錠はとがった物でこじ開けられる。\n試してみたか？
Chap01DoorHint02,,,,La clé tombe au sol avant d’être remise en place. Exploitez ça.,Anahtara dokununca yere düşüyor.\nBunu kendi avantajına kullan.,"Der Schlüssel fällt zu Boden, bevor er wieder an seinen Platz gesteckt wird.\nNutze das zu deinem Vorteil.",La llave cae al suelo antes de volver a ponerla en su sitio.\nAprovéchalo.,A chave cai no chão antes de ser posta no lugar.\nUse isso a seu favor.,在放回到原位之前，钥匙会先掉到地上。这一点可以为你所用。,La chiave cade a terra prima di essere rimessa a posto.\n Usalo a tuo vantaggio.,"Ключ падает на пол, и только потом возвращается на место.\nПопробуйте воспользоваться этим.",제 위치에 놓지 않으면 열쇠는 떨어져요.\n 그걸 이용해 봅시다.,カギが床に落ちてから元に戻されるまで\nわずかな隙があるのを利用しろ。
Chap01DoorHint03,,,,Placez quelque chose sous la porte pour réceptionner la clé lors de sa chute.,Anahtar düşünce onu yakalayabilmek için kapının altına bir şey koy.,"Lege etwas unter die Tür, um den Schlüssel aufzufangen, wenn er herunterfällt.",Pon algo debajo de la puerta para hacerte con la llave cuando caiga.,Coloque alguma coisa debaixo da porta para pegar a chave quando ela cair.,在门下垫个东西去接住跌落的钥匙。,Metti qualcosa sotto la porta per recuperare la chiave quando cade.,"Положите что-нибудь под дверь, чтобы поймать ключ, когда он упадёт.",문 밑에다가 뭔가를 놓아서 열쇠가 떨어지기 전에 잡아봐요.,ドアの下に何かを差し込んでおいて、\nカギが落ちたら引っぱり出せ。
Chap01BigCogHint01,,,,Il manque un rouage ici. Peut-être que le livre géant peut vous aider.,Burada bir dişli eksik. Belki de dev kitap sana yardımcı olabilir.,Hier fehlt ein Zahnrad.\nVielleicht kann dir das riesige Buch weiterhelfen.,Aquí falta un engranaje. Quizás el libro gigante pueda ayudarte.,Tem uma engrenagem faltando aqui. Talvez o livro gigante te ajude.,这儿缺一个齿轮。\n巨书也许能帮到你。,Qui manca un ingranaggio.\n Forse il libro gigante può aiutarti.,"Здесь не хватает шестерёнки.\nМожет, огромная книга вам поможет.",톱니바퀴 하나가 없네요.\n커다란 책을 보면 도움이 될지도.,ここには歯車があったはずだ。\n大きな本が役に立つかもしれない。
Chap01BigCogHint02,,,,Essayez de tourner les pages du livre.,Kitabın sayfalarını çevirmeyi dene.,"Versuche, die Seiten des Buchs umzublättern.",Intenta pasar las páginas del libro.,Tente virar as páginas do livro.,试着翻一下这本书。,Prova a girare le pagine del libro.,Попробуйте перелистнуть страницы у книги. ,책 페이지를 넘겨봐요.,本のページをめくってみろ。
Chap01BigCogHint03,,,,N’oubliez pas votre tournevis !,Tornavidanı unutma!,Vergiss nicht deinen Schraubenzieher!,¡No olvides tu destornillador!,Não esqueça a sua chave de fenda!,不要忘了你的螺丝刀！,Non dimenticare il cacciavite!,Не забывайте - у вас есть отвёртка!,드라이버 잊지 말고요!,ネジ回しがあっただろ！
Chap01SmallCogHint01,,,,Ce petit rouage va être difficile à trouver. Il va falloir être rapide pour le dénicher.,O küçük dişliyi bulmak kolay olmayacak. Onu bulabilmek için hızlı olmalısın.,"Dieses kleine Zahnrad wird schwer zu finden sein. Du musst schnell sein, um es zu finden.",Ese pequeño engranaje será difícil de encontrar. Tendrás que ser rápido para dar con él.,Aquela engrenagenzinha vai ser difícil de achar. Você vai ter que encontrá-la rapidinho.,那个小齿轮不好找，你得动作快才找得到。,Quel piccolo ingranaggio sarà difficile da trovare. Dovrai essere veloce.,"Маленькую шестерёнку непросто найти. Вам нужно действовать быстро, чтобы найти её.",작은 톱니바퀴는 찾기 어려울 거예요. 찾으려면 좀 빨라야 할 걸요.,この小さな歯車を探すのは難しいぞ。\nすばやくやらなきゃいけない。
Chap01SmallCogHint02,,,,Le programme n’aime pas que l’on se déplace rapidement d’écran en écran sans s'arrêter.,Program durmadan hızlı hızlı ekrandan ekrana geçmenden hoşlanmıyor.,"Das Programm mag es nicht, wenn du so schnell zwischen den Bildschirmen wechselst.",Al programa no le gusta que te muevas de una pantalla a otra muy rápido y sin parar.,O programa não gosta quando você muda de uma tela para a outra rápido demais sem parar.,这个程序不喜欢你在几个界面上，来回不停地快速切换。,Al programma non piace quando si passa da uno schermo all'altro molto velocemente senza fermarsi.,"Программе не нравится, когда вы быстро и без остановки перемещаетесь от экрана к экрану.",프로그램은 당신이 멈추지 않고 화면을 빠르게 움직이는 걸 별로 안 좋아하더라고요.,プログラムは画面から画面へ\n止まらず高速に移動されるといやがる。
SUPPRIME,Narrator,0,,"Hasta la vista, Baby.","Hasta la vista, Bebeğim.","Hasta la vista, Baby.","Sayonara, Baby.","Hasta la vista, Baby.",后会有期，宝贝,"Hasta la vista, Baby.","Аста ла виста, бейби.","하스타 라 비스타, 친구.",さっさと失せろ、ベイビー。
MenuQuit01,Narrator,0,,Et surtout ne revenez pas !,Ve sakın geri gelme!,Und komm ja nicht wieder zurück!,¡Y no vuelvas!,E não volte mais!,不要回来！,E non tornare!,И не возвращайся!,돌아오지 말고요!,もう来るなよ！
